Incident_No,Force_Type,Incident_Date,Race,Gender,Age,Precinct,Neighborhood,Is911Call
08-000127,Level 1 - Use of Force,2008/01/01 01:15:31+00,1.0,0.0,25.0,2,Bottineau,0.0
08-000127,Level 1 - Use of Force,2008/01/01 01:15:31+00,1.0,0.0,25.0,2,Bottineau,0.0
08-000127,Level 1 - Use of Force,2008/01/01 01:15:31+00,1.0,0.0,25.0,2,Bottineau,0.0
08-000144,Level 1 - Use of Force,2008/01/01 01:27:27+00,2.0,1.0,27.0,3,East Phillips,0.0
08-000144,Level 1 - Use of Force,2008/01/01 01:27:27+00,2.0,1.0,27.0,3,East Phillips,0.0
08-000144,Level 2 - Use of Force,2008/01/01 01:27:27+00,2.0,1.0,27.0,3,East Phillips,0.0
08-000149,Level 1 - Use of Force,2008/01/01 01:29:47+00,2.0,1.0,39.0,1,Downtown West,0.0
08-000149,Level 1 - Use of Force,2008/01/01 01:29:47+00,2.0,1.0,39.0,1,Downtown West,0.0
08-000165,Level 1 - Use of Force,2008/01/01 01:40:02+00,2.0,1.0,42.0,1,Downtown West,0.0
08-000165,Level 1 - Use of Force,2008/01/01 01:40:02+00,2.0,1.0,42.0,1,Downtown West,0.0
08-000420,Level 2 - Use of Force,2008/01/01 04:48:26+00,3.0,1.0,28.0,3,Corcoran,1.0
08-000895,Level 2 - Use of Force,2008/01/01 17:02:44+00,1.0,1.0,45.0,5,Whittier,1.0
08-000895,Level 2 - Use of Force,2008/01/01 17:02:44+00,1.0,1.0,45.0,5,Whittier,1.0
08-000946,Level 1 - Use of Force,2008/01/01 18:40:55+00,1.0,1.0,52.0,4,Willard - Hay,0.0
08-001057,Level 1 - Use of Force,2008/01/01 21:48:33+00,7.0,0.0,32.0,3,East Phillips,1.0
08-001059,Level 1 - Use of Force,2008/01/01 21:49:34+00,1.0,1.0,43.0,4,Hawthorne,0.0
08-001059,Level 2 - Use of Force,2008/01/01 21:49:34+00,1.0,1.0,43.0,4,Hawthorne,0.0
08-001245,Level 1 - Use of Force,2008/01/02 02:20:27+00,1.0,0.0,19.0,4,Folwell,1.0
08-001987,Level 1 - Use of Force,2008/01/02 21:02:35+00,2.0,1.0,46.0,5,Whittier,0.0
08-002126,Level 2 - Use of Force,2008/01/02 22:56:24+00,1.0,1.0,39.0,5,Whittier,1.0
08-002340,Level 1 - Use of Force,2008/01/03 03:05:10+00,1.0,0.0,36.0,1,Downtown West,0.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,7.0,1.0,15.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,16.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,7.0,1.0,15.0,4,Sumner - Glenwood,1.0
08-002346,Level 1 - Use of Force,2008/01/03 03:20:24+00,0.0,1.0,14.0,4,Sumner - Glenwood,1.0
08-003239,Level 1 - Use of Force,2008/01/03 23:08:24+00,1.0,1.0,22.0,4,Webber - Camden,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003643,Level 1 - Use of Force,2008/01/04 10:40:37+00,2.0,1.0,31.0,5,East Harriet,0.0
08-003786,Level 1 - Use of Force,2008/01/04 13:30:33+00,1.0,1.0,18.0,3,Wenonah,1.0
08-003786,Level 1 - Use of Force,2008/01/04 13:30:33+00,1.0,1.0,18.0,3,Wenonah,1.0
08-003786,Level 2 - Use of Force,2008/01/04 13:30:33+00,1.0,1.0,18.0,3,Wenonah,1.0
08-003786,Level 1 - Use of Force,2008/01/04 13:30:33+00,1.0,1.0,18.0,3,Wenonah,1.0
08-004095,Level 2 - Use of Force,2008/01/04 19:44:59+00,2.0,1.0,44.0,5,Whittier,0.0
08-004378,Level 2 - Use of Force,2008/01/04 23:00:52+00,1.0,1.0,41.0,3,Phillips West,1.0
08-004406,Level 1 - Use of Force,2008/01/04 23:22:33+00,1.0,1.0,27.0,4,Hawthorne,0.0
08-004457,Level 1 - Use of Force,2008/01/05 00:11:37+00,1.0,1.0,23.0,1,Downtown West,0.0
08-004537,Level 1 - Use of Force,2008/01/05 01:26:11+00,1.0,1.0,14.0,4,Hawthorne,0.0
08-005035,Level 1 - Use of Force,2008/01/05 17:08:18+00,1.0,1.0,23.0,4,Near - North,0.0
08-005035,Level 2 - Use of Force,2008/01/05 17:08:18+00,1.0,1.0,23.0,4,Near - North,0.0
08-005035,Level 1 - Use of Force,2008/01/05 17:08:18+00,1.0,1.0,23.0,4,Near - North,0.0
08-005035,Level 1 - Use of Force,2008/01/05 17:08:18+00,1.0,1.0,23.0,4,Near - North,0.0
08-005035,Level 1 - Use of Force,2008/01/05 17:08:18+00,1.0,1.0,23.0,4,Near - North,0.0
08-005035,Level 1 - Use of Force,2008/01/05 17:08:18+00,1.0,1.0,23.0,4,Near - North,0.0
08-005035,Level 1 - Use of Force,2008/01/05 17:08:18+00,1.0,1.0,23.0,4,Near - North,0.0
08-005302,Level 1 - Use of Force,2008/01/05 22:08:42+00,2.0,1.0,49.0,1,Downtown West,0.0
08-005343,Level 1 - Use of Force,2008/01/05 22:57:23+00,1.0,1.0,29.0,4,McKinley,0.0
08-005909,Level 2 - Use of Force,2008/01/06 14:17:19+00,7.0,1.0,49.0,1,Downtown West,1.0
08-006776,Level 1 - Use of Force,2008/01/07 14:31:58+00,1.0,1.0,34.0,3,Ventura Village,1.0
08-006776,Level 1 - Use of Force,2008/01/07 14:31:58+00,1.0,1.0,34.0,3,Ventura Village,1.0
08-006776,Level 1 - Use of Force,2008/01/07 14:31:58+00,1.0,1.0,34.0,3,Ventura Village,1.0
08-006776,Level 1 - Use of Force,2008/01/07 14:31:58+00,1.0,1.0,34.0,3,Ventura Village,1.0
08-006776,Level 1 - Use of Force,2008/01/07 14:31:58+00,1.0,1.0,34.0,3,Ventura Village,1.0
08-006798,Level 2 - Use of Force,2008/01/07 14:57:04+00,1.0,1.0,42.0,1,Elliot Park,0.0
08-006825,Level 1 - Use of Force,2008/01/07 15:26:39+00,1.0,1.0,50.0,1,Downtown West,1.0
08-007154,Level 1 - Use of Force,2008/01/07 22:07:54+00,1.0,1.0,48.0,1,Downtown West,0.0
08-007154,Level 1 - Use of Force,2008/01/07 22:07:54+00,1.0,1.0,48.0,1,Downtown West,0.0
08-007154,Level 1 - Use of Force,2008/01/07 22:07:54+00,1.0,1.0,48.0,1,Downtown West,0.0
08-007154,Level 1 - Use of Force,2008/01/07 22:07:54+00,1.0,1.0,48.0,1,Downtown West,0.0
08-007154,Level 1 - Use of Force,2008/01/07 22:07:54+00,1.0,1.0,48.0,1,Downtown West,0.0
08-007351,Level 1 - Use of Force,2008/01/08 02:07:17+00,1.0,1.0,29.0,4,Near - North,1.0
08-007351,Level 1 - Use of Force,2008/01/08 02:07:17+00,1.0,1.0,29.0,4,Near - North,1.0
08-007748,Level 1 - Use of Force,2008/01/08 14:20:21+00,1.0,1.0,13.0,4,Harrison,0.0
08-007748,Level 1 - Use of Force,2008/01/08 14:20:21+00,1.0,1.0,13.0,4,Harrison,0.0
08-009460,Level 1 - Use of Force,2008/01/10 02:28:09+00,1.0,1.0,36.0,1,North Loop,0.0
08-009944,Level 1 - Use of Force,2008/01/10 16:58:39+00,1.0,1.0,26.0,3,Standish,1.0
08-010212,Level 1 - Use of Force,2008/01/10 21:14:43+00,2.0,1.0,44.0,2,Logan Park,0.0
08-010212,Level 1 - Use of Force,2008/01/10 21:14:43+00,2.0,1.0,44.0,2,Logan Park,0.0
08-010212,Level 1 - Use of Force,2008/01/10 21:14:43+00,2.0,1.0,44.0,2,Logan Park,0.0
08-010291,Level 1 - Use of Force,2008/01/10 22:21:53+00,2.0,1.0,22.0,3,Central,0.0
08-010291,Level 1 - Use of Force,2008/01/10 22:21:53+00,2.0,1.0,22.0,3,Central,0.0
08-010291,Level 2 - Use of Force,2008/01/10 22:21:53+00,2.0,1.0,22.0,3,Central,0.0
08-010291,Level 1 - Use of Force,2008/01/10 22:21:53+00,2.0,1.0,22.0,3,Central,0.0
08-010291,Level 1 - Use of Force,2008/01/10 22:21:53+00,2.0,1.0,22.0,3,Central,0.0
08-010291,Level 3 - Use of Force,2008/01/10 22:21:53+00,2.0,1.0,22.0,3,Central,0.0
08-011577,Level 1 - Use of Force,2008/01/12 00:50:48+00,2.0,1.0,22.0,1,Downtown West,0.0
08-012196,Level 1 - Use of Force,2008/01/12 18:06:02+00,1.0,1.0,29.0,3,Powderhorn Park,1.0
08-012325,Level 2 - Use of Force,2008/01/12 20:02:39+00,1.0,1.0,41.0,3,Seward,1.0
08-012466,Level 1 - Use of Force,2008/01/12 22:26:04+00,1.0,1.0,43.0,4,Jordan,1.0
08-012466,Level 1 - Use of Force,2008/01/12 22:26:04+00,1.0,1.0,43.0,4,Jordan,1.0
08-012559,Level 1 - Use of Force,2008/01/12 23:41:11+00,,1.0,16.0,4,Near - North,1.0
08-012559,Level 1 - Use of Force,2008/01/12 23:41:11+00,,1.0,16.0,4,Near - North,1.0
08-012725,Level 1 - Use of Force,2008/01/13 02:21:55+00,2.0,1.0,18.0,5,Lowry Hill,1.0
08-012774,Level 2 - Use of Force,2008/01/13 03:21:52+00,1.0,1.0,30.0,3,Ventura Village,0.0
08-012774,Level 1 - Use of Force,2008/01/13 03:21:52+00,1.0,1.0,30.0,3,Ventura Village,0.0
08-012840,Level 2 - Use of Force,2008/01/13 07:00:28+00,3.0,1.0,18.0,3,Midtown Phillips,1.0
08-013439,Level 2 - Use of Force,2008/01/13 23:29:57+00,2.0,1.0,36.0,3,Minnehaha,1.0
08-013527,Level 1 - Use of Force,2008/01/14 01:46:49+00,1.0,1.0,28.0,1,Downtown West,0.0
08-014476,Level 1 - Use of Force,2008/01/15 02:54:45+00,1.0,1.0,29.0,0,,0.0
08-014491,Level 2 - Use of Force,2008/01/15 03:44:38+00,2.0,1.0,29.0,4,Cleveland,0.0
08-014787,Level 2 - Use of Force,2008/01/15 13:06:51+00,3.0,1.0,24.0,1,Cedar Riverside,1.0
08-015086,Level 1 - Use of Force,2008/01/15 18:56:27+00,1.0,1.0,24.0,4,Jordan,0.0
08-016088,Level 1 - Use of Force,2008/01/16 20:03:10+00,2.0,1.0,25.0,4,Harrison,1.0
08-016088,Level 1 - Use of Force,2008/01/16 20:03:10+00,2.0,1.0,25.0,4,Harrison,1.0
08-016285,Level 1 - Use of Force,2008/01/16 23:47:30+00,1.0,1.0,44.0,5,Lowry Hill East,1.0
08-016285,Level 1 - Use of Force,2008/01/16 23:47:30+00,1.0,1.0,44.0,5,Lowry Hill East,1.0
08-016285,Level 1 - Use of Force,2008/01/16 23:47:30+00,1.0,1.0,44.0,5,Lowry Hill East,1.0
08-016365,Level 1 - Use of Force,2008/01/17 01:16:35+00,1.0,0.0,46.0,3,East Phillips,0.0
08-016607,Level 1 - Use of Force,2008/01/17 12:09:39+00,1.0,1.0,38.0,4,Hawthorne,1.0
08-016607,Level 2 - Use of Force,2008/01/17 12:09:39+00,1.0,1.0,38.0,4,Hawthorne,1.0
08-016997,Level 2 - Use of Force,2008/01/17 20:36:32+00,1.0,1.0,46.0,1,Elliot Park,0.0
08-017203,Level 1 - Use of Force,2008/01/18 00:14:09+00,1.0,1.0,19.0,3,Central,1.0
08-017203,Level 3 - Use of Force,2008/01/18 00:14:09+00,1.0,1.0,19.0,3,Central,1.0
08-017291,Level 1 - Use of Force,2008/01/18 02:16:44+00,2.0,1.0,22.0,1,Downtown West,0.0
08-017647,Level 1 - Use of Force,2008/01/18 13:57:07+00,1.0,0.0,20.0,4,Willard - Hay,0.0
08-017739,Level 1 - Use of Force,2008/01/18 15:45:01+00,3.0,0.0,39.0,1,Downtown West,0.0
08-017957,Level 1 - Use of Force,2008/01/18 20:02:33+00,1.0,1.0,34.0,2,Waite Park,1.0
08-017957,Level 1 - Use of Force,2008/01/18 20:02:33+00,1.0,1.0,34.0,2,Waite Park,1.0
08-017957,Level 1 - Use of Force,2008/01/18 20:02:33+00,1.0,1.0,34.0,2,Waite Park,1.0
08-017957,Level 1 - Use of Force,2008/01/18 20:02:33+00,1.0,1.0,34.0,2,Waite Park,1.0
08-017957,Level 1 - Use of Force,2008/01/18 20:02:33+00,1.0,1.0,34.0,2,Waite Park,1.0
08-018909,Level 2 - Use of Force,2008/01/19 22:04:01+00,1.0,1.0,50.0,1,Downtown West,0.0
08-018973,Level 1 - Use of Force,2008/01/19 22:53:35+00,1.0,1.0,15.0,4,Hawthorne,0.0
08-018973,Level 1 - Use of Force,2008/01/19 22:53:35+00,1.0,1.0,16.0,4,Hawthorne,0.0
08-018973,Level 1 - Use of Force,2008/01/19 22:53:35+00,1.0,1.0,16.0,4,Hawthorne,0.0
08-018973,Level 1 - Use of Force,2008/01/19 22:53:35+00,1.0,1.0,16.0,4,Hawthorne,0.0
08-018973,Level 1 - Use of Force,2008/01/19 22:53:35+00,1.0,1.0,15.0,4,Hawthorne,0.0
08-018973,Level 1 - Use of Force,2008/01/19 22:53:35+00,1.0,1.0,16.0,4,Hawthorne,0.0
08-019047,Level 1 - Use of Force,2008/01/19 23:47:58+00,2.0,1.0,27.0,1,Downtown West,0.0
08-019047,Level 1 - Use of Force,2008/01/19 23:47:58+00,2.0,1.0,27.0,1,Downtown West,0.0
08-019047,Level 1 - Use of Force,2008/01/19 23:47:58+00,2.0,1.0,27.0,1,Downtown West,0.0
08-019216,Level 1 - Use of Force,2008/01/20 03:07:25+00,2.0,1.0,23.0,2,Sheridan,1.0
08-019216,Level 1 - Use of Force,2008/01/20 03:07:25+00,2.0,1.0,23.0,2,Sheridan,1.0
08-019216,Level 1 - Use of Force,2008/01/20 03:07:25+00,2.0,1.0,23.0,2,Sheridan,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 2 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019237,Level 1 - Use of Force,2008/01/20 03:47:57+00,1.0,1.0,40.0,1,Downtown West,1.0
08-019283,Level 1 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019283,Level 1 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019283,Level 2 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019283,Level 1 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019283,Level 1 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019283,Level 1 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019283,Level 1 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019283,Level 1 - Use of Force,2008/01/20 05:40:29+00,3.0,1.0,23.0,4,Hawthorne,1.0
08-019576,Level 2 - Use of Force,2008/01/20 18:05:25+00,3.0,0.0,45.0,3,Corcoran,1.0
08-019576,Level 1 - Use of Force,2008/01/20 18:05:25+00,3.0,0.0,45.0,3,Corcoran,1.0
08-019747,Level 1 - Use of Force,2008/01/20 22:30:43+00,1.0,1.0,21.0,4,Near - North,0.0
08-021160,Level 1 - Use of Force,2008/01/22 14:54:56+00,1.0,1.0,37.0,3,East Phillips,1.0
08-021160,Level 1 - Use of Force,2008/01/22 14:54:56+00,1.0,1.0,37.0,3,East Phillips,1.0
08-021196,Level 1 - Use of Force,2008/01/22 15:56:16+00,1.0,1.0,21.0,4,Folwell,0.0
08-023520,Level 1 - Use of Force,2008/01/24 23:48:01+00,2.0,1.0,35.0,5,Lowry Hill East,1.0
08-023876,Level 1 - Use of Force,2008/01/25 11:58:00+00,1.0,0.0,17.0,4,Harrison,0.0
08-023876,Level 1 - Use of Force,2008/01/25 11:58:00+00,1.0,0.0,17.0,4,Harrison,0.0
08-023876,Level 1 - Use of Force,2008/01/25 11:58:00+00,1.0,0.0,20.0,4,Harrison,0.0
08-024156,Level 2 - Use of Force,2008/01/25 18:04:32+00,1.0,1.0,40.0,1,Downtown West,0.0
08-024311,Level 2 - Use of Force,2008/01/25 20:34:33+00,1.0,0.0,17.0,5,Tangletown,0.0
08-024393,Level 1 - Use of Force,2008/01/25 21:50:36+00,1.0,1.0,50.0,1,Downtown West,1.0
08-024524,Level 1 - Use of Force,2008/01/25 23:35:15+00,1.0,1.0,21.0,5,Steven's Square - Loring Heights,1.0
08-024656,Level 2 - Use of Force,2008/01/26 01:39:38+00,1.0,1.0,21.0,1,Downtown West,0.0
08-024687,Level 1 - Use of Force,2008/01/26 02:10:40+00,2.0,0.0,21.0,5,CARAG,1.0
08-024687,Level 1 - Use of Force,2008/01/26 02:10:40+00,2.0,1.0,28.0,5,CARAG,1.0
08-024687,Level 1 - Use of Force,2008/01/26 02:10:40+00,2.0,1.0,28.0,5,CARAG,1.0
08-024687,Level 1 - Use of Force,2008/01/26 02:10:40+00,2.0,0.0,24.0,5,CARAG,1.0
08-024687,Level 1 - Use of Force,2008/01/26 02:10:40+00,2.0,0.0,24.0,5,CARAG,1.0
08-024687,Level 1 - Use of Force,2008/01/26 02:10:40+00,2.0,0.0,21.0,5,CARAG,1.0
08-025583,Level 1 - Use of Force,2008/01/26 22:58:11+00,1.0,1.0,37.0,2,Logan Park,1.0
08-025734,Level 1 - Use of Force,2008/01/27 01:09:02+00,1.0,1.0,46.0,4,Hawthorne,1.0
08-025734,Level 1 - Use of Force,2008/01/27 01:09:02+00,1.0,1.0,46.0,4,Hawthorne,1.0
08-025734,Level 1 - Use of Force,2008/01/27 01:09:02+00,1.0,1.0,46.0,4,Hawthorne,1.0
08-025734,Level 1 - Use of Force,2008/01/27 01:09:02+00,1.0,1.0,46.0,4,Hawthorne,1.0
08-025804,Level 1 - Use of Force,2008/01/27 02:31:10+00,1.0,1.0,32.0,1,Downtown West,0.0
08-025804,Level 1 - Use of Force,2008/01/27 02:31:10+00,1.0,1.0,32.0,1,Downtown West,0.0
08-025804,Level 1 - Use of Force,2008/01/27 02:31:10+00,1.0,1.0,32.0,1,Downtown West,0.0
08-025804,Level 2 - Use of Force,2008/01/27 02:31:10+00,1.0,1.0,32.0,1,Downtown West,0.0
08-025804,Level 1 - Use of Force,2008/01/27 02:31:10+00,1.0,1.0,32.0,1,Downtown West,0.0
08-025819,Level 1 - Use of Force,2008/01/27 02:44:26+00,1.0,1.0,29.0,1,Downtown West,0.0
08-025965,Level 1 - Use of Force,2008/01/27 10:15:43+00,2.0,1.0,42.0,5,Lyndale,0.0
08-025965,Level 1 - Use of Force,2008/01/27 10:15:43+00,2.0,1.0,42.0,5,Lyndale,0.0
08-025965,Level 1 - Use of Force,2008/01/27 10:15:43+00,2.0,1.0,42.0,5,Lyndale,0.0
08-025965,Level 1 - Use of Force,2008/01/27 10:15:43+00,2.0,1.0,42.0,5,Lyndale,0.0
08-026567,Level 2 - Use of Force,2008/01/28 00:11:58+00,1.0,1.0,27.0,5,Lyndale,0.0
08-026636,Level 1 - Use of Force,2008/01/28 02:04:13+00,2.0,1.0,28.0,2,Holland,0.0
08-026636,Level 1 - Use of Force,2008/01/28 02:04:13+00,2.0,1.0,28.0,2,Holland,0.0
08-027354,Level 2 - Use of Force,2008/01/28 19:12:30+00,2.0,1.0,54.0,5,CARAG,1.0
08-028467,Level 1 - Use of Force,2008/01/29 21:25:00+00,1.0,1.0,24.0,4,Near - North,0.0
08-028467,Level 1 - Use of Force,2008/01/29 21:25:00+00,1.0,1.0,24.0,4,Near - North,0.0
08-028467,Level 1 - Use of Force,2008/01/29 21:25:00+00,1.0,1.0,24.0,4,Near - North,0.0
08-028467,Level 1 - Use of Force,2008/01/29 21:25:00+00,1.0,1.0,24.0,4,Near - North,0.0
08-028467,Level 3 - Use of Force,2008/01/29 21:25:00+00,1.0,1.0,24.0,4,Near - North,0.0
08-028467,Level 3 - Use of Force,2008/01/29 21:25:00+00,1.0,1.0,24.0,4,Near - North,0.0
08-028467,Level 1 - Use of Force,2008/01/29 21:25:00+00,1.0,1.0,24.0,4,Near - North,0.0
08-029473,Level 3 - Use of Force,2008/01/30 22:34:14+00,2.0,1.0,35.0,2,Waite Park,1.0
08-029473,Level 1 - Use of Force,2008/01/30 22:34:14+00,2.0,1.0,35.0,2,Waite Park,1.0
08-029473,Level 1 - Use of Force,2008/01/30 22:34:14+00,2.0,1.0,35.0,2,Waite Park,1.0
08-030142,Level 1 - Use of Force,2008/01/31 17:57:22+00,1.0,1.0,27.0,4,Hawthorne,0.0
08-030417,Level 1 - Use of Force,2008/01/31 22:17:05+00,2.0,1.0,40.0,0,,0.0
08-030417,Level 1 - Use of Force,2008/01/31 22:17:05+00,2.0,1.0,40.0,0,,0.0
08-030417,Level 1 - Use of Force,2008/01/31 22:17:05+00,2.0,1.0,40.0,0,,0.0
08-030595,Level 1 - Use of Force,2008/02/01 01:13:09+00,2.0,1.0,24.0,3,East Phillips,0.0
08-030673,Level 1 - Use of Force,2008/02/01 03:20:35+00,1.0,0.0,42.0,2,Holland,1.0
08-030673,Level 1 - Use of Force,2008/02/01 03:20:35+00,1.0,0.0,42.0,2,Holland,1.0
08-030673,Level 1 - Use of Force,2008/02/01 03:20:35+00,1.0,0.0,42.0,2,Holland,1.0
08-030704,Level 1 - Use of Force,2008/02/01 06:15:20+00,7.0,0.0,17.0,4,Jordan,0.0
08-030704,Level 1 - Use of Force,2008/02/01 06:15:20+00,1.0,0.0,35.0,4,Jordan,0.0
08-030704,Level 1 - Use of Force,2008/02/01 06:15:20+00,1.0,0.0,35.0,4,Jordan,0.0
08-030704,Level 1 - Use of Force,2008/02/01 06:15:20+00,7.0,0.0,17.0,4,Jordan,0.0
08-030812,Level 1 - Use of Force,2008/02/01 10:23:49+00,1.0,1.0,13.0,4,Jordan,0.0
08-030812,Level 1 - Use of Force,2008/02/01 10:23:49+00,1.0,1.0,13.0,4,Jordan,0.0
08-030812,Level 1 - Use of Force,2008/02/01 10:23:49+00,1.0,1.0,15.0,4,Jordan,0.0
08-031378,Level 1 - Use of Force,2008/02/01 21:40:04+00,2.0,1.0,39.0,1,Downtown East,0.0
08-031458,Level 1 - Use of Force,2008/02/01 22:33:26+00,1.0,1.0,37.0,5,East Isles,1.0
08-031630,Level 1 - Use of Force,2008/02/02 00:17:56+00,2.0,1.0,20.0,2,Prospect Park - East River Road,1.0
08-031711,Level 1 - Use of Force,2008/02/02 01:19:05+00,7.0,1.0,45.0,2,Nicollet Island - East Bank,1.0
08-031711,Level 1 - Use of Force,2008/02/02 01:19:05+00,7.0,1.0,45.0,2,Nicollet Island - East Bank,1.0
08-031711,Level 1 - Use of Force,2008/02/02 01:19:05+00,7.0,1.0,45.0,2,Nicollet Island - East Bank,1.0
08-031711,Level 1 - Use of Force,2008/02/02 01:19:05+00,7.0,1.0,45.0,2,Nicollet Island - East Bank,1.0
08-031711,Level 1 - Use of Force,2008/02/02 01:19:05+00,7.0,1.0,45.0,2,Nicollet Island - East Bank,1.0
08-031711,Level 1 - Use of Force,2008/02/02 01:19:05+00,7.0,1.0,45.0,2,Nicollet Island - East Bank,1.0
08-031728,Level 1 - Use of Force,2008/02/02 01:33:16+00,0.0,1.0,23.0,1,Downtown West,0.0
08-031756,Level 2 - Use of Force,2008/02/02 02:03:13+00,1.0,1.0,44.0,2,Nicollet Island - East Bank,1.0
08-031756,Level 1 - Use of Force,2008/02/02 02:03:13+00,1.0,1.0,44.0,2,Nicollet Island - East Bank,1.0
08-031838,Level 1 - Use of Force,2008/02/02 03:37:24+00,2.0,1.0,23.0,1,Downtown West,0.0
08-031855,Level 1 - Use of Force,2008/02/02 04:14:19+00,1.0,1.0,25.0,4,Near - North,1.0
08-031879,Level 1 - Use of Force,2008/02/02 05:32:56+00,2.0,1.0,41.0,2,Windom Park,1.0
08-031879,Level 2 - Use of Force,2008/02/02 05:32:56+00,2.0,1.0,41.0,2,Windom Park,1.0
08-031888,Level 1 - Use of Force,2008/02/02 06:11:01+00,1.0,1.0,27.0,1,Downtown West,1.0
08-031888,Level 1 - Use of Force,2008/02/02 06:11:01+00,1.0,1.0,27.0,1,Downtown West,1.0
08-031888,Level 1 - Use of Force,2008/02/02 06:11:01+00,1.0,1.0,27.0,1,Downtown West,1.0
08-031888,Level 1 - Use of Force,2008/02/02 06:11:01+00,1.0,1.0,27.0,1,Downtown West,1.0
08-031888,Level 1 - Use of Force,2008/02/02 06:11:01+00,1.0,1.0,27.0,1,Downtown West,1.0
08-031888,Level 1 - Use of Force,2008/02/02 06:11:01+00,1.0,1.0,27.0,1,Downtown West,1.0
08-032583,Level 2 - Use of Force,2008/02/02 22:13:02+00,1.0,1.0,19.0,2,Logan Park,0.0
08-032626,Level 1 - Use of Force,2008/02/02 22:40:31+00,2.0,1.0,26.0,4,Near - North,0.0
08-032626,Level 2 - Use of Force,2008/02/02 22:40:31+00,2.0,1.0,26.0,4,Near - North,0.0
08-032626,Level 1 - Use of Force,2008/02/02 22:40:31+00,2.0,1.0,26.0,4,Near - North,0.0
08-032626,Level 1 - Use of Force,2008/02/02 22:40:31+00,2.0,1.0,26.0,4,Near - North,0.0
08-032626,Level 1 - Use of Force,2008/02/02 22:40:31+00,2.0,1.0,28.0,4,Near - North,0.0
08-032626,Level 1 - Use of Force,2008/02/02 22:40:31+00,2.0,1.0,28.0,4,Near - North,0.0
08-032626,Level 1 - Use of Force,2008/02/02 22:40:31+00,2.0,1.0,26.0,4,Near - North,0.0
08-032796,Level 1 - Use of Force,2008/02/03 00:50:46+00,1.0,1.0,23.0,1,Downtown West,0.0
08-032796,Level 1 - Use of Force,2008/02/03 00:50:46+00,1.0,1.0,23.0,1,Downtown West,0.0
