Incident_No,Force_Type,Incident_Date,Race,Gender,Age,Precinct,Neighborhood,Is911Call
21-255761,Level 1 - Use of Force,2021/11/06 00:17:21+00,2.0,0.0,32.0,2,St. Anthony East,0.0
21-255761,Level 1 - Use of Force,2021/11/06 00:17:21+00,2.0,0.0,32.0,2,St. Anthony East,0.0
21-255949,Level 1 - Use of Force,2021/11/06 05:20:46+00,3.0,0.0,22.0,2,Prospect Park - East River Road,1.0
21-256001,Level 2 - Use of Force,2021/11/06 08:38:21+00,1.0,1.0,28.0,4,Harrison,0.0
21-256001,Level 2 - Use of Force,2021/11/06 08:38:21+00,1.0,1.0,28.0,4,Harrison,0.0
21-256284,Level 2 - Use of Force,2021/11/06 15:51:54+00,1.0,1.0,32.0,1,Downtown East,1.0
21-256284,Level 2 - Use of Force,2021/11/06 15:51:54+00,1.0,1.0,32.0,1,Downtown East,1.0
21-256284,Level 2 - Use of Force,2021/11/06 15:51:54+00,1.0,1.0,32.0,1,Downtown East,1.0
21-256742,Level 1 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 1 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 1 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 1 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 1 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 2 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 2 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 2 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 2 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256742,Level 2 - Use of Force,2021/11/07 00:42:37+00,2.0,1.0,44.0,1,Elliot Park,1.0
21-256816,Level 1 - Use of Force,2021/11/07 01:06:16+00,2.0,1.0,,2,Nicollet Island - East Bank,0.0
21-256816,Level 1 - Use of Force,2021/11/07 01:06:16+00,2.0,1.0,,2,Nicollet Island - East Bank,0.0
21-257417,Level 2 - Use of Force,2021/11/07 20:28:18+00,,1.0,,2,Nicollet Island - East Bank,1.0
21-257445,Level 1 - Use of Force,2021/11/07 21:20:50+00,1.0,0.0,26.0,1,Elliot Park,1.0
21-257445,Level 1 - Use of Force,2021/11/07 21:20:50+00,1.0,0.0,26.0,1,Elliot Park,1.0
21-257445,Level 1 - Use of Force,2021/11/07 21:20:50+00,1.0,0.0,26.0,1,Elliot Park,1.0
21-257445,Level 1 - Use of Force,2021/11/07 21:20:50+00,1.0,0.0,26.0,1,Elliot Park,1.0
21-257477,Level 1 - Use of Force,2021/11/07 22:03:00+00,,1.0,37.0,3,Hiawatha,1.0
21-257597,Level 1 - Use of Force,2021/11/08 01:41:11+00,1.0,1.0,28.0,1,Downtown West,0.0
21-257616,Level 1 - Use of Force,2021/11/08 02:17:30+00,1.0,1.0,28.0,5,Lyndale,0.0
21-257811,Level 2 - Use of Force,2021/11/08 10:44:55+00,2.0,1.0,53.0,5,Windom,1.0
21-258207,Level 1 - Use of Force,2021/11/08 19:34:15+00,2.0,1.0,15.0,5,Kenny,1.0
21-258212,Level 2 - Use of Force,2021/11/08 19:39:14+00,2.0,1.0,55.0,5,Whittier,1.0
21-258289,Level 1 - Use of Force,2021/11/08 21:37:12+00,1.0,0.0,21.0,5,Whittier,1.0
21-258460,Level 1 - Use of Force,2021/11/09 03:14:20+00,1.0,1.0,29.0,1,Downtown West,1.0
21-258648,Level 1 - Use of Force,2021/11/09 11:11:08+00,1.0,1.0,21.0,4,Jordan,0.0
21-258648,Level 1 - Use of Force,2021/11/09 11:11:08+00,1.0,1.0,21.0,4,Jordan,0.0
21-258648,Level 1 - Use of Force,2021/11/09 11:11:08+00,1.0,1.0,16.0,4,Jordan,0.0
21-258816,Level 1 - Use of Force,2021/11/09 15:36:45+00,1.0,1.0,38.0,2,Bottineau,0.0
21-258816,Level 1 - Use of Force,2021/11/09 15:36:45+00,1.0,1.0,38.0,2,Bottineau,0.0
21-259455,Level 1 - Use of Force,2021/11/10 12:33:31+00,1.0,1.0,15.0,4,Lind - Bohanon,0.0
21-260359,Level 1 - Use of Force,2021/11/11 15:23:25+00,1.0,1.0,34.0,2,Como,1.0
21-260415,Level 1 - Use of Force,2021/11/11 16:49:49+00,1.0,1.0,34.0,2,Marshall Terrace,1.0
21-260415,Level 1 - Use of Force,2021/11/11 16:49:49+00,1.0,1.0,34.0,2,Marshall Terrace,1.0
21-260415,Level 1 - Use of Force,2021/11/11 16:49:49+00,1.0,1.0,34.0,2,Marshall Terrace,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260570,Level 1 - Use of Force,2021/11/11 20:10:48+00,1.0,1.0,20.0,5,King Field,1.0
21-260703,Level 1 - Use of Force,2021/11/11 23:46:42+00,1.0,1.0,33.0,2,Sheridan,0.0
21-260790,Level 1 - Use of Force,2021/11/12 03:31:53+00,2.0,1.0,25.0,2,Holland,0.0
21-261125,Level 1 - Use of Force,2021/11/12 15:41:56+00,1.0,1.0,50.0,2,Holland,1.0
21-261429,Level 2 - Use of Force,2021/11/12 22:25:26+00,2.0,1.0,35.0,2,Holland,1.0
21-261429,Level 2 - Use of Force,2021/11/12 22:25:26+00,2.0,1.0,35.0,2,Holland,1.0
21-261578,Level 1 - Use of Force,2021/11/13 01:44:07+00,,1.0,,1,Downtown West,1.0
21-261622,Level 1 - Use of Force,2021/11/13 02:35:36+00,2.0,0.0,55.0,2,Marcy Holmes,1.0
21-261622,Level 1 - Use of Force,2021/11/13 02:35:36+00,2.0,0.0,55.0,2,Marcy Holmes,1.0
